,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
CAMK2G-AS1,87,100,105,78,145,327,132,216,197,366,179,216,154,228,234,182
PLAU,1556,269,754,247,1539,309,460,348,1587,564,1595,621,2801,676,2964,1193
C10orf55,429,54,205,69,406,100,97,84,445,149,459,157,739,164,792,322
VCL,1643,750,1307,798,2326,2030,1555,1625,2987,2011,1157,2012,2915,2247,3665,1979
AP3M1,2203,1152,1253,958,4435,3858,1454,1820,5040,3478,1935,3363,5404,4791,4135,3763
ADK,1304,381,501,290,2321,1489,1018,575,2515,1124,1156,1051,2538,1751,1878,1107
KAT6B,1603,1300,1284,908,2763,4390,1834,2303,2680,4204,1694,2494,3137,4215,4202,3712
DUSP29,0,0,0,0,18,0,2,3,2,0,0,0,4,1,3,0
DUSP13,0,0,0,0,6,0,0,2,0,0,0,0,10,2,0,0
SAMD8,856,502,422,414,1201,1508,596,953,2114,1613,873,1742,1537,2071,1610,1962
VDAC2,1911,528,537,472,2970,1828,701,981,4016,1759,1425,2293,3736,2047,1806,1650
COMTD1,517,105,125,98,931,487,225,383,1066,437,470,423,1390,408,669,564
ZNF503-AS1,0,0,0,0,0,2,0,4,0,0,0,0,4,2,1,0
ZNF503,20,20,109,59,10,4,236,56,30,20,36,132,66,20,586,540
ZNF503-AS2,6,7,16,8,2,4,29,12,5,2,7,22,6,2,108,104
LRMDA,8,4,79,12,6,3,68,21,34,17,28,35,29,36,247,70
KCNMA1,138,188,162,216,122,20,83,309,34,35,70,342,44,34,46,101
KCNMA1-AS1,14,33,8,21,12,0,12,18,1,6,3,25,3,1,2,3
KCNMA1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1-AS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLG5,264,432,463,216,470,1332,611,648,386,1411,728,462,532,1121,1225,923
DLG5-AS1,0,2,2,0,0,8,0,0,0,1,1,0,2,0,0,0
