,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
CHRNB2,50,38,25,18,37,14,18,42,40,53,40,97,25,31,10,39
ADAR,40148,18904,10052,23988,53294,57693,10338,59662,85448,75915,20213,94684,91884,77587,41975,106772
KCNN3,30,14,24,36,40,26,27,8,17,48,42,18,28,69,73,26
PMVK,677,196,286,149,1527,699,394,457,2236,811,596,1083,2096,957,1037,717
PBXIP1,2417,5559,6427,3494,3631,35720,10758,16658,6150,31978,17837,23497,5700,24095,23703,17964
PYGO2,1914,1510,1647,1207,3467,6557,2113,3714,5041,6521,3501,6160,4997,6922,6273,5513
SHC1,2706,1451,1727,1690,3609,5136,2057,4392,5978,5588,3098,6713,5773,6390,7180,8006
CKS1B,420,88,86,87,926,381,91,247,1011,331,218,431,1105,454,283,315
FLAD1,1771,598,537,655,3512,2728,782,1629,4393,2669,1690,2960,3975,3189,2266,2738
LENEP,0,4,0,0,0,1,2,0,1,4,2,3,0,6,6,2
ZBTB7B,3035,1104,2521,1488,4560,4578,2624,3115,9580,5668,4554,5845,7112,5358,9374,7502
DCST2,19,10,29,3,25,73,29,64,34,53,33,29,18,24,55,25
DCST1,7,10,14,13,18,14,20,7,14,42,7,14,26,13,49,15
DCST1-AS1,2,0,6,0,10,10,14,6,5,21,2,11,25,14,27,10
ADAM15,1170,282,689,195,2119,1040,1014,580,3834,1429,996,890,2614,1342,2341,1054
EFNA4,120,65,90,65,163,295,118,143,310,282,168,334,283,295,313,207
EFNA3,114,73,93,116,113,122,96,86,107,169,129,108,53,137,109,95
EFNA1,22,34,43,12,6,69,44,14,22,70,123,29,42,121,181,92
SLC50A1,968,468,469,370,1503,1784,591,952,2283,2046,1534,2143,2182,2007,2173,1952
DPM3,144,74,130,114,272,426,194,307,356,422,420,401,399,426,560,377
KRTCAP2,1771,738,740,770,2467,3025,836,1815,3820,3281,2115,3746,3842,3461,3560,3302
TRIM46,393,207,176,200,462,315,313,310,632,563,295,238,450,308,295,201
MUC1,185,34,4,57,195,85,6,147,988,344,94,583,393,233,150,380
THBS3-AS1,144,94,181,70,171,438,265,311,250,520,354,228,278,443,583,347
THBS3,362,257,395,198,416,1150,684,727,699,1507,918,647,776,1224,1533,865
MTX1,846,174,244,195,1323,781,337,494,1633,752,590,844,1759,960,1010,819
GBA,1086,862,1020,826,1489,2037,929,1390,3348,2670,1998,3640,2916,2972,4628,3763
FAM189B,1095,427,385,370,2219,1581,545,927,2899,1766,923,1377,2861,1689,1581,1907
SCAMP3,3632,1018,1346,1122,5715,4030,1439,2547,9009,4661,2668,5000,7501,5271,5055,5156
CLK2,2608,1567,1506,1174,3723,6184,1879,3939,4936,6785,3462,4165,5086,6061,5688,4971
HCN3,126,196,162,72,122,364,213,250,157,458,217,276,212,324,367,257
PKLR,20,23,18,16,18,41,28,36,12,55,20,34,13,26,35,29
FDPS,3041,1043,1149,887,6099,4114,1314,1924,7234,4726,3082,3734,7349,4850,3730,2939
RUSC1-AS1,1420,578,654,416,2838,2034,699,1086,3405,2470,1466,1882,3473,2430,1858,1621
RUSC1,879,356,438,287,1432,1335,448,846,1850,1444,885,1222,1893,1524,1432,2020
ASH1L,3386,2015,2263,1798,4385,7201,2554,4281,6513,10187,3531,5846,5608,8554,6457,6721
ASH1L-IT1,0,0,0,0,1,4,0,0,2,1,0,0,0,1,2,0
ASH1L-AS1,80,57,42,57,97,125,46,84,137,149,105,178,164,154,140,134
MSTO1,1461,446,440,425,2470,1556,486,1154,3115,2038,829,1492,3101,1857,1641,1484
YY1AP1,2471,1318,1518,1358,3690,6231,1755,3507,5366,6074,3129,5609,5657,7615,6952,7869
DAP3,4225,1286,1510,1262,6640,5364,1765,2625,9006,5528,3685,5687,8146,6562,5219,5278
GON4L,2762,1625,1671,1363,3953,6801,1986,3906,5745,7685,2856,5225,4932,6685,5459,6071
SYT11,1340,1250,1076,1211,1922,3048,1096,1626,2291,2442,1677,1851,1959,2948,2356,2215
RIT1,1278,810,1086,1183,1763,2008,954,1859,3241,2748,1924,4018,2610,3287,4148,5894
KHDC4,1968,1344,1344,1101,2835,5636,1520,3421,3383,5404,2504,3516,3703,5283,4467,4419
RXFP4,2,0,0,0,0,4,3,12,2,29,25,19,6,1,8,19
ARHGEF2,6406,3173,3291,3095,8576,8805,3726,6508,14630,11810,7330,12837,13907,12803,14202,19191
ARHGEF2-AS2,32,35,10,9,22,105,34,75,32,90,52,70,55,100,114,101
ARHGEF2-AS1,0,0,0,0,0,1,1,0,0,3,0,0,2,2,3,1
SSR2,4145,1863,2561,2458,5935,7783,3068,4383,10236,7908,9875,10595,8956,8515,10234,9411
UBQLN4,2539,837,1004,697,3783,3163,1004,1761,4871,3313,1626,2465,5029,3435,3086,3275
LAMTOR2,926,366,531,446,1438,1199,586,862,1878,1269,1103,1463,1785,1265,1887,1599
RAB25,2,10,0,0,4,12,0,18,12,14,6,9,16,14,8,18
MEX3A,68,54,4,14,88,23,6,10,124,16,26,16,66,50,16,24
LMNA,12922,1576,10057,8326,15256,2636,7996,6374,24193,3405,7366,8730,24807,7992,35087,43311
SEMA4A,1192,512,1244,4343,1095,549,905,5651,5437,1722,2456,11171,2894,1759,4984,25697
SLC25A44,2490,833,817,690,3469,2774,931,1652,6672,3321,1908,3050,4230,3344,3028,3203
PMF1,2669,706,686,754,4049,2476,745,1611,6378,3370,1878,3482,4836,3865,2906,2735
BGLAP,74,35,11,29,115,147,29,79,231,233,104,171,212,101,96,82
PAQR6,60,29,83,28,92,94,59,128,182,134,110,75,165,151,179,165
SMG5,7180,2517,2682,2446,10166,9904,2671,6131,15228,9248,4807,11046,14540,11499,9378,11157
TMEM79,512,241,467,313,737,1268,502,854,1220,1281,832,1146,1139,1178,1748,1622
GLMP,859,316,1129,708,864,972,937,962,2172,1218,1363,1986,1897,1195,4538,5002
VHLL,0,0,0,0,2,0,0,0,2,0,2,2,0,0,2,8
CCT3,15808,2542,2600,2288,28211,8762,3100,4726,32132,10153,6481,9950,32300,13945,9949,8776
TSACC,4,3,3,5,44,35,5,17,49,34,10,10,49,43,51,22
RHBG,1,4,0,0,0,0,0,2,0,0,0,2,0,0,0,2
MIR9-1HG,108,64,36,98,113,155,14,141,150,276,103,272,176,253,92,125
MEF2D,3642,2987,3111,1936,5361,12815,3461,5607,8047,13136,5543,7013,7021,14568,13195,9939
IQGAP3,64,44,23,20,27,23,38,22,32,22,18,22,70,35,20,42
TTC24,94,71,61,53,182,347,102,286,131,290,102,139,369,600,399,406
NAXE,1507,414,531,482,2681,2056,526,929,3806,1988,1681,1953,3690,2295,1931,1441
GPATCH4,5129,613,554,517,7976,2237,586,1484,8724,2855,1018,2513,8807,3916,2097,2678
HAPLN2,14,16,24,20,14,9,4,20,2,12,10,6,4,6,3,2
BCAN-AS1,0,0,0,0,0,4,4,0,0,0,0,8,1,2,0,2
BCAN,164,125,95,121,82,24,70,102,26,20,87,45,14,10,34,32
NES,52,12,12,12,34,17,4,8,170,30,14,50,68,32,4,20
CRABP2,36,6,6,10,33,22,16,16,42,43,12,8,40,43,52,61
ISG20L2,2854,892,1011,830,5003,3366,1102,2057,5998,3397,1801,3731,5946,4239,3622,3463
METTL25B,557,352,356,349,1009,1309,529,1057,1158,1345,862,1435,1263,1304,1260,1304
MRPL24,1379,289,330,274,3003,1474,487,785,3133,1710,1107,1439,3694,1823,1405,1159
HDGF,7014,3325,3675,2398,12803,11109,3761,5559,15783,11025,7933,11291,16767,13436,15210,10859
PRCC,2874,1076,994,953,4498,4077,1276,2449,6284,4271,2557,4209,6194,5239,4607,4287
SH2D2A,4870,2306,1543,1068,7251,10249,1369,3230,11758,9970,4167,6324,9671,9731,6116,3869
NTRK1,46,44,26,12,60,185,10,26,86,125,43,41,65,142,57,25
INSRR,6,23,13,2,16,319,4,16,39,315,78,25,13,122,80,10
PEAR1,10,6,5,2,0,2,2,22,6,14,2,2,26,0,20,27
LRRC71,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,6
ARHGEF11,1404,1043,1692,4058,1013,983,1560,6024,5975,2652,2341,14038,3331,3181,7510,27258
ETV3L,0,99,0,11,7,161,0,36,81,574,322,400,2,802,434,40
ETV3,1648,1640,1018,1106,2066,3188,784,2479,4369,5441,2705,7187,3309,8291,5137,6396
LINC02772,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL5,127,105,111,119,199,457,258,496,232,544,159,352,277,819,517,645
FCRL4,158,246,119,194,86,451,27,124,306,788,41,286,275,2806,392,1007
FCRL3,916,769,717,618,2028,6355,1768,4039,1238,3231,1379,2645,1437,2151,1874,1823
FCRL2,46,48,68,26,119,389,206,300,132,334,241,137,146,301,249,195
FCRL1,62,62,53,57,256,565,306,517,173,527,221,338,374,622,573,510
CD5L,0,0,0,0,0,2,6,3,2,0,0,4,2,0,4,4
KIRREL1,90,102,12,42,50,0,44,14,10,18,12,14,6,8,10,14
KIRREL1-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMIM42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01704,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CD1D,4,2,14,1,13,6,48,48,22,34,51,62,4,16,118,49
CD1A,2,0,4,0,263,4,11,0,39,4,62,4,224,2,18,0
CD1C,40,14,51,15,188,91,120,45,68,166,350,92,312,129,301,98
CD1B,69,0,2,0,224,0,4,0,30,0,202,4,212,0,35,22
CD1E,50,4,32,0,120,0,10,0,53,0,274,2,96,0,54,10
OR10T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10K1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10X1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10Z1,0,0,0,0,2,5,0,2,1,2,0,5,3,4,4,2
SPTA1,20,2,0,10,15,18,0,17,12,53,5,64,48,48,6,30
OR6K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6K3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
OR6N1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0
OR6K6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6N2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MNDA,336,161,766,1196,360,390,1051,1355,1043,500,274,3079,972,401,3186,7584
PYHIN1,1193,939,824,914,1322,4703,1567,3048,1371,2975,1317,3447,1719,2558,1872,2495
IFI16,16941,7550,3284,11497,24554,25362,4429,27925,30750,27052,8175,40528,39028,30644,16355,44622
AIM2,481,409,162,892,735,1525,246,1686,1324,1229,401,2361,960,1419,713,2464
CADM3,474,322,190,434,264,66,292,210,30,90,194,98,16,25,88,58
CADM3-AS1,186,104,63,198,86,30,156,103,10,40,72,27,18,13,58,34
ACKR1,0,0,0,2,0,4,0,2,0,0,0,16,0,4,6,14
FCER1A,4,0,4,0,2,2,120,0,14,0,2,4,28,52,202,35
OR10J1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
LINC02819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10J5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUSP23,392,84,340,76,659,355,280,313,764,381,418,672,886,371,898,357
FCRL6,268,138,369,126,466,1172,965,818,458,487,464,514,429,149,470,305
SLAMF8,2236,53,2886,208,2216,227,1279,442,5381,250,6457,2296,7986,216,9481,2889
SNHG28,843,42,939,71,775,177,480,193,1818,156,2112,832,2697,125,3379,1026
VSIG8,12,0,9,1,6,19,13,3,27,42,30,14,15,25,23,21
CFAP45,38,2,6,4,46,35,9,18,48,31,32,17,63,80,42,23
TAGLN2,11223,2928,5652,3042,18525,15031,5930,6847,26652,13258,12821,17212,31794,19267,23365,16834
IGSF9,2,10,6,9,22,5,14,10,0,6,4,8,14,22,2,16
SLAMF9,0,6,16,16,0,0,4,18,2,1,30,10,16,13,189,86
LINC01133,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,1
KCNJ10,121,53,66,116,31,23,54,26,28,41,32,74,14,15,35,89
PIGM,414,274,300,178,730,726,356,610,974,1011,510,726,906,834,898,698
KCNJ9,58,84,66,72,61,10,76,46,5,35,54,25,9,20,24,20
IGSF8,2020,745,628,762,3213,3196,996,2089,4762,3472,1720,3932,4165,2846,2321,2557
ATP1A2,1841,1740,974,1659,1271,208,1273,1132,132,455,746,447,92,171,250,207
ATP1A4,163,151,50,134,119,23,100,163,12,19,63,42,13,28,15,11
CASQ1,6,4,4,14,7,10,6,20,0,11,16,6,16,17,12,39
PEA15,8323,2508,4547,4371,8972,5949,4135,7477,15334,7851,10650,16758,15934,10538,17828,20856
DCAF8,4096,3340,3624,2450,5407,14015,4618,8364,6709,13196,6624,8686,8067,13634,12883,10613
DCAF8-DT,266,255,272,152,404,955,306,665,518,1122,519,776,539,881,974,730
PEX19,1796,727,951,606,2773,3160,1022,1611,4298,2949,1914,3137,3699,3781,3090,2997
COPA,7315,3489,4318,3089,10532,10525,4064,5763,15372,11571,6654,10685,14708,14662,14077,12510
NCSTN,2265,1245,1773,1579,3704,4532,2011,3275,6053,5542,3740,6909,6323,6335,8664,8445
NHLH1,10,6,2,0,38,32,8,6,32,24,18,16,39,46,46,47
VANGL2,48,20,13,31,35,16,10,14,24,42,38,18,24,58,26,30
SLAMF6,1006,837,1003,944,2042,5025,2138,3786,2146,3474,1909,4970,2758,2838,2819,3385
CD84,1667,978,5886,2918,2701,5658,4941,6034,7451,5246,3176,8111,3970,4826,19675,19515
SLAMF1,2888,1756,397,454,4186,2784,555,1145,9370,4007,1399,4032,5246,5863,2423,2185
CD48,5899,3133,2431,4635,11029,12700,3349,11208,15198,13211,12673,24711,15353,13303,12016,17266
SLAMF7,16962,6924,2886,12150,24752,18807,2634,27715,56690,24149,13798,100626,37519,26546,14970,55393
LY9,553,684,1326,1112,740,6998,2292,4253,654,3638,2236,3600,1551,3846,4184,5152
CD244,377,371,332,253,795,2785,694,1210,633,1343,841,1003,459,794,496,578
ITLN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ITLN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11R,811,535,757,524,1177,1952,749,1205,2178,2241,1488,2472,1618,2027,2684,1945
TSTD1,296,286,297,192,751,1340,513,844,853,1167,1114,1408,678,821,819,648
USF1,1939,1717,1713,1945,2664,6034,2010,4751,3969,5407,3886,5832,4436,5508,5942,7155
ARHGAP30,10586,5443,7260,5303,18301,25452,10252,16443,27737,24960,13550,25287,26402,24885,25653,27998
NECTIN4,26,12,36,32,0,4,6,30,91,11,48,48,45,26,76,70
NECTIN4-AS1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KLHDC9,8,6,10,0,22,22,13,0,4,16,24,0,6,22,16,3
PFDN2,2794,680,582,534,4530,1843,710,1100,5100,1653,1042,2471,4146,2208,1756,1646
NIT1,1313,680,790,803,2281,2604,958,1859,2974,2762,1799,2884,3044,2987,3284,3013
DEDD,1724,878,922,944,2934,2936,1049,2064,4055,3109,1905,3452,3736,3565,3721,3877
UFC1,2310,1043,1150,788,3594,3811,1427,2015,4234,3449,3064,4266,4148,4026,3858,2767
USP21,1086,652,801,594,1661,3852,1112,1799,1905,3242,1690,2010,1995,2767,2618,2020
PPOX,516,374,540,319,893,1917,968,1225,980,1741,1144,1064,1261,1656,1810,1239
B4GALT3,2156,722,985,795,3682,4198,1475,2575,4896,4287,2065,3480,5012,4256,3907,3777
ADAMTS4,83,229,50,59,65,72,70,94,154,365,38,138,94,258,115,148
NDUFS2,3244,1538,1643,1469,5207,4554,2062,3061,6574,4181,2983,4530,6481,5019,5350,4514
FCER1G,3635,3236,4003,4136,4681,3592,4243,6563,17893,7914,17817,18485,10375,10956,30975,28445
APOA2,2,14,6,14,18,1,6,12,3,17,23,16,2,10,13,13
TOMM40L,954,314,300,305,1629,802,352,549,2320,972,646,1159,2106,1028,750,763
NR1I3,207,37,76,67,440,202,58,121,589,273,164,264,545,274,191,162
PCP4L1,4,5,11,13,6,13,6,19,6,51,2,16,6,15,15,12
MPZ,62,62,37,34,68,290,63,87,119,301,126,131,160,357,270,198
SDHC,1293,594,798,524,2289,2486,986,1022,3095,2604,1655,2136,3113,2606,2750,2036
CFAP126,38,43,43,37,98,189,38,61,111,216,83,64,101,126,139,82
FCGR2A,790,501,1412,319,1168,267,1334,358,4335,1218,4253,948,2426,1278,7526,3449
HSPA6,878,679,691,410,208,1783,335,232,575,786,805,767,4657,6833,7136,5276
FCGR3A,1163,629,5678,1524,3072,2377,4696,2050,5881,1646,5779,4706,1534,907,20209,10400
FCGR3B,148,105,59,111,119,35,106,35,13,30,53,29,24,16,156,117
FCGR2B,248,142,407,160,368,736,1039,559,946,629,1950,456,1060,581,2657,730
FCRLA,238,345,211,262,494,1758,434,638,671,1544,585,883,1003,2265,1356,1764
FCRLB,18,20,32,12,24,50,44,24,45,55,141,34,46,43,157,43
DUSP12,728,373,338,318,1040,1384,385,680,1537,1091,917,1178,1414,1419,1287,992
ATF6-DT,0,0,0,0,0,2,0,0,3,0,0,6,2,0,2,0
ATF6,2662,968,1327,979,3791,3502,1485,2204,5200,3375,2076,4092,4691,4656,4937,4521
OLFML2B,20,70,1275,664,22,32,1289,503,512,208,802,232,26,206,6155,6203
NOS1AP,70,92,6,86,45,3,43,38,17,9,22,28,16,8,14,64
SPATA46,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
C1orf226,6,2,2,48,12,12,15,6,2,6,18,20,11,14,11,116
SH2D1B,1154,1204,1528,1082,589,3727,1156,1762,625,1888,1385,1653,1267,2058,2168,1885
UHMK1,6803,3184,3486,2579,11711,11281,4153,6106,13849,10681,4312,9260,13643,12825,8639,8675
UAP1-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAP1,1008,358,402,334,1331,937,464,448,1692,824,588,981,1865,1216,1309,986
DDR2,189,48,36,48,78,71,54,76,92,77,30,60,81,180,78,117
HSD17B7,313,196,251,204,470,747,309,433,987,972,618,896,738,885,847,813
CCDC190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
RGS4,220,132,122,258,118,36,154,130,18,56,128,42,22,32,30,18
RGS5,70,12,28,38,92,99,25,74,109,107,27,104,88,117,92,99
RGS5-AS1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
RGS5.1,38,12,26,5,74,76,31,52,71,96,42,81,57,108,93,88
NUF2,109,34,46,40,288,148,46,71,241,108,66,78,280,116,74,65
PBX1,260,264,111,299,213,43,244,111,32,120,105,76,41,69,97,67
PBX1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMX1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMX1A-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMX1A-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RXRG,4,12,16,12,16,2,6,10,2,2,18,10,4,0,0,2
LRRC52-AS1,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,2
LRRC52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGST3,511,249,853,458,418,678,514,577,787,901,1019,914,965,1168,2539,1841
ALDH9A1,1187,562,780,638,1980,2145,843,891,2439,1801,1239,1731,2504,2501,2487,2206
TMCO1,2121,854,1020,997,3694,2830,1343,1800,4663,2633,2135,3542,4661,3590,3584,3470
TMCO1-AS1,10,4,3,22,2,11,17,8,21,12,10,10,9,26,9,23
UCK2,1894,261,230,214,3129,674,270,367,3772,890,458,985,3572,1277,734,834
FAM78B,61,58,22,58,52,18,26,22,66,20,28,42,53,18,40,18
FAM78B-AS1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LINC01675,12,0,0,0,4,15,2,3,13,15,4,24,9,3,2,10
POGK,3295,1192,1487,1019,6114,4793,1707,2997,8214,5121,2097,5214,7369,5756,4849,5484
TADA1,452,242,226,157,788,877,259,411,887,560,372,630,979,981,613,704
ILDR2,242,90,58,87,371,52,42,80,367,135,101,70,296,159,83,55
MAEL,2,0,4,0,17,2,9,0,4,13,8,0,6,13,14,2
GPA33,32,103,146,82,24,381,260,254,75,467,640,346,78,338,601,342
STYXL2,0,0,0,0,0,0,0,2,0,0,2,4,0,0,6,10
LINC01363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU2F1-DT,4,2,0,0,16,17,1,12,8,20,4,2,2,8,11,30
POU2F1,1111,658,749,570,1604,2065,804,1455,2666,3042,1025,2472,2327,2336,1953,2940
CD247,6024,4004,4509,3424,8502,19681,5431,10666,11155,17360,9651,16228,11231,15520,12402,11950
CREG1,3038,4126,3882,6865,2468,2142,3852,6794,9990,5694,4483,18741,5933,8131,14906,32384
RCSD1,2692,2567,2637,2128,5503,12887,5897,7751,6196,9075,5259,12868,8212,10781,10360,11091
MPZL1,625,930,396,380,879,1198,426,623,1683,2153,1874,2206,1483,4058,3038,1683
ADCY10,0,2,6,0,2,12,0,2,6,8,4,2,1,18,4,12
MPC2,939,455,494,391,1280,1903,546,752,1690,1399,1338,1511,1824,1760,1684,1298
DCAF6,1517,938,987,788,2113,3082,999,1596,2682,2682,1998,2912,2825,3653,3318,3180
GPR161,71,48,34,70,50,34,24,74,92,37,24,52,170,109,104,434
TIPRL,1627,767,700,737,2602,2377,822,1224,3526,2257,1343,2507,3229,3035,2298,2890
SFT2D2,1849,952,1079,1155,2710,3485,1607,3227,4404,4835,1883,5158,4528,4213,3909,5552
TBX19,117,131,124,78,83,323,101,225,204,358,152,427,245,323,399,456
XCL2,984,36,30,93,1576,441,97,386,471,248,161,420,882,198,74,178
XCL1,908,64,34,63,1137,330,64,252,916,435,316,720,1589,484,251,349
DPT,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B1,3963,2944,1813,2826,2494,562,2416,1854,1415,938,1663,1130,1328,608,1053,622
NME7,405,263,191,275,424,414,284,269,245,370,314,230,387,494,366,324
BLZF1,580,326,325,901,754,1078,354,1370,1251,968,669,1926,1372,1422,1291,4424
CCDC181,29,0,9,6,14,13,1,9,20,19,5,6,10,12,16,8
SLC19A2,396,220,126,47,605,245,168,115,823,361,201,211,670,526,484,229
F5,2343,269,172,126,2803,847,194,296,4814,2218,698,813,3277,1268,613,582
SELP,40,12,11,22,17,54,6,73,46,125,36,119,70,80,51,80
C1orf112,577,231,269,189,936,1006,339,546,1098,1151,496,901,1326,951,747,835
SELL,4520,4056,3058,4436,7368,21089,6381,15404,14279,30489,14961,37963,15599,25781,15289,24291
SELE,0,0,0,0,1,2,0,2,4,3,0,0,0,1,0,3
METTL18,202,115,120,116,402,605,176,306,507,382,263,421,725,772,601,604
SCYL3,893,595,580,581,1277,2305,699,1234,1935,2400,1155,2405,2157,2412,1782,2025
KIFAP3,889,505,373,475,1505,1301,506,731,1527,1095,644,1282,1779,1563,913,1096
NTMT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01681,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LINC01142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GORAB-AS1,4,6,6,0,8,10,3,2,8,25,6,6,27,12,15,4
GORAB,409,207,202,242,488,893,274,404,741,825,521,947,993,1353,1184,1209
PRRX1,40,12,4,18,12,0,8,4,8,0,8,2,12,0,8,2
MROH9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FMO3,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0
FMO2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FMO1,12,8,0,4,9,9,14,2,0,5,0,4,7,9,4,8
FMO4,44,22,48,31,84,128,68,100,128,173,38,171,104,132,123,142
PRRC2C,20159,9274,8612,6409,28772,35799,9444,17977,43250,49177,13588,28396,38878,42655,29347,35123
MYOCOS,4,4,0,0,4,3,0,0,0,2,3,0,4,0,0,0
MYOC,4,12,0,4,8,0,2,10,0,0,6,0,2,2,0,0
VAMP4,1059,701,732,571,1311,2394,987,1413,1580,1713,1411,1710,1290,2334,1911,1802
METTL13,2280,693,716,573,3854,2819,957,1425,4721,2691,1570,3031,5604,3619,2924,2923
DNM3,139,97,90,92,105,134,118,115,70,143,95,111,118,123,240,70
DNM3-IT1,0,0,0,0,0,2,0,0,0,0,0,2,3,1,2,0
DNM3OS,2,8,6,8,16,8,2,4,2,2,18,0,4,2,6,0
PIGC,646,366,446,412,917,1950,658,1090,1174,1526,1381,1740,1251,1601,1598,1660
C1orf105,0,0,3,0,0,0,0,0,0,1,4,18,1,1,1,2
SUCO,1294,785,726,640,2083,2629,1026,1667,2995,2777,1328,2921,2372,3280,2413,2934
FASLG,2446,530,419,789,3610,1811,422,2679,5341,1764,801,3754,3227,1416,647,1811
TNFSF18,5,1,2,353,2,0,0,341,34,12,10,233,28,4,10,2001
TNFSF4,216,632,109,234,231,924,75,413,434,858,258,726,606,2069,606,836
PRDX6-AS1,112,78,100,70,92,358,99,219,141,369,256,226,136,317,258,170
PRDX6,2425,1221,1223,1220,3778,4176,1325,2203,4366,4014,2678,4062,4574,4818,4060,3930
SLC9C2,0,0,0,0,0,5,0,0,0,1,0,4,0,2,0,2
ANKRD45,6,0,0,0,10,2,0,0,2,0,0,6,0,0,0,14
TEX50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL20,706,316,418,358,991,1261,522,830,1266,1236,610,1214,1158,1418,1178,1315
CENPL,324,111,76,113,587,385,170,253,700,419,176,461,674,486,311,389
DARS2,999,296,288,278,2115,1077,424,556,2107,1230,588,929,2951,1459,1189,1053
GAS5,3677,2112,1939,2174,5954,8057,2283,4626,6471,6836,8931,8882,7006,8498,5899,6139
GAS5-AS1,142,71,66,83,211,304,79,150,176,230,268,256,243,341,240,264
ZBTB37,883,754,1002,577,1424,2954,1494,1927,2045,4191,1384,2460,1580,2309,1889,2228
SERPINC1,8,8,2,0,6,3,0,6,12,5,4,0,2,3,9,2
RC3H1,1348,795,784,689,1978,2416,1070,1437,2864,3267,1437,2692,2567,2850,2483,3230
RC3H1-IT1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0
RC3H1-DT,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
RABGAP1L-DT,18,12,6,2,15,50,9,30,4,22,26,14,25,35,43,27
RABGAP1L,1660,1394,1643,1987,2401,6421,1869,4084,2677,4856,2779,5243,3708,6102,4848,8907
GPR52,12,6,10,19,6,0,8,6,0,8,0,20,4,12,6,0
RABGAP1L-IT1,0,6,0,0,0,0,0,0,0,0,0,1,1,0,3,10
RABGAP1L-AS1,0,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0
CACYBP,3666,839,1031,757,6307,3616,1082,1354,6470,2724,1968,2659,9609,5655,5578,4075
